"HDD apjoms, Gb:",DVD:,"Operatīvā atmiņa, Gb:",Video:,Pamat plate:,"Procesora frekvence, Ghz:",Stāvoklis:,Atrašanās vieta:,Darba dienas:,URL,Cena,Procesors:
1000,-,16,Geforce gtx1650 4gb gddr5,H410 fsb8000mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxhxn.html,599 €,Core i5-11400
500,DVD-RW,4,Intel hd,Msi,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gogjm.html,65 €,Intel core i3
500,-,16,1660ti Gigabyte Gaming Oc 6gb,Msi x570-a pro,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dlbeh.html,1 000 €,Ryzen 5 3600X
256,-,32,Msi gtx1060 armor oc 3gb,Gigabyte Z490 Visiong,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ejmxc.html,675 €,I7-10700K
223,-,16,Gtx 1650,Intel,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dhoik.html,700 €,Intel R i7
1000,-,16,Geforce Rtx4060 Ti 8Gb Gddr6,B450 am4 usb/sata3 fsb9200mts,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lndbb.html,1 099 €,Ryzen 9-5900
1500,DVD-RW,6,Intel hd,Asus,2600,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dpfdn.html,100 €,Intel core
1000,-,16,Intel uhd730 4gb ddr4,H610 fsb8000mts usb/sata3,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ecxhk.html,499 €,Core i5-12500
500,-,32,Geforce rtx 4080 16gb,Lga 1700/ddr5,5.80,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gcnnj.html,2 599 €,I9-13900Kf
620,DVD-RW,8,Встроенная - Intel Hd Graphics 4600,Dell Optiplex 9020 Mini Tower,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eojjd.html,80 €,Core i5-4570s
300,DVD-RW,8,Radeon hd 3600,Gygabite,3.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/efodl.html,90 €,Fx-6300
1000,-,8,Intel Iris 1536 Mb,Macmini,2.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fbeko.html,215 €,Intel Core i5
1000,-,16,Geforce Gt1650 4Gb Gddr5 8000Mhz,B450 am4 fsb9200mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxlnh.html,719 €,Ryzen7 5700
500,CD-RW,16,Geforce rtx 3070,Geforce rtx 3070,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/glhko.html,1 200 €,Intel i7-1170
,,,,,,,"Rīga, Ķengarags",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmnpfm.html,,
500,CD-RW,4,Radeon hd6750m,I5(i5-2400S),2.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hgcmn.html,240 €,I5(i5-2400S)
1000,-,16,Intel uhd630 4gb ddr4,Intel H310 Fsb4800Mts,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fcbic.html,359 €,Core i5-10600
512,-,16,Gigabyte gaming oc rtx 3060 ti 8gb,Asus prime b450m-k ii,4.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gfblh.html,679 €,Ryzen 5 5500
1000,-,16,Zotac gaming twin edge oc rtx 3070 8gb,Asus Prime B550M-A,4.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/elcfj.html,830 €,Ryzen 5 5500
1000,-,16,Msi ventus 2x oc rtx 4060 ti 8gb,Asus Prime B550M-A,4.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bnkho.html,959 €,Ryzen 5 5600
1000,-,32,Zotac trinity rtx 4070 12gb oc,Asus Prime B660M-A,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/golnc.html,1 250 €,I5 13400F
160,DVD-RW,1,Intel gma950,Gigabyte 945gm-s2,3,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/expxk.html,10 €,Pentium 4
500,DVD-RW,8,Gtx 660 Ti,H81M-D2V,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kodmj.html,105 €,I3-4130
628,DVD,8,Hd graphics 2500,Dell,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dhdhl.html,85 €,I5-3470
1000,-,8,Geforce gt730 4gb gddr5,H410 fsb8000mts usb/sata3,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/djxdf.html,399 €,Core i5-11400
740,DVD-RW,8,Intel Uhd Graphics 630,Hp proone 400g5,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fmoxo.html,150 €,I3 9100t
,,,,,,,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fpifg.html,,
1000,-,16,Geforce rtx 4060ti 8gb,Am5/ddr5/,5.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hcxco.html,1 199 €,Ryzen 5 7600X
1000,-,32,Radeon Vega Rdna2 4Gb Ddr5,A620 am5 fsb9200 ddr5 pcie4.0,5300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gocoi.html,769 €,Ryzen 5 7600X
500,-,16,Radeon Rx. Vega 7,Gigabyte a520m s2h,3700,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bgxcj.html,250 €,Ryzen 5 4600G
3000,-,64,Radeon Pro 580 8Gb,Mned2Ze,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/edopj.html,1 550 €,Intel Core i5
400,CD,16,Gtx nvidia 1660ti,Itx,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ixdim.html,400 €,Amd ryzen 3
512,DVD,16,Hd grapcics 630,Fujitsu,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/epbkg.html,205 €,I5-7500
256,-,8,Intel Hd Graphics 530,Lenovo,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/femxf.html,149 €,I5-6500
320,DVD-RW,1,Ati radeon hd 2600 pro,Intel Santa Rosa,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fniim.html,100 €,Intel Core 2
500,-,8,Uhd graphics,Hp pavilion aio,3.00,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fccff.html,539 €,Amd ryzen 5
620,DVD-RW,8,Radeon R7,Hp elitedesk 705 g3 sff,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/efnix.html,120 €,Amd a8-9600
500,-,8,Radeon 5300,IMac 27 2020,3.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fxikd.html,1 599 €,I5 6core
500,DVD,4,512,Asus,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/flobn.html,25 €,I3-2130
256,-,8,Amd radion hd6970m,Macos,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fmejl.html,370 €,I5-2400
512,-,8,M1,Ios,3.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/joeex.html,490 €,Apple M1
250,CD,16,Nvidia gtx 1050ti,Intel,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gjcnm.html,200 €,Intel core i5
512,-,16,Nvidia geforce rtx 3060 ti 8gb,Asus Prime B560M-A,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dehnc.html,799 €,I5-11600K
1000,-,8,Feforce Gt710 2Gb Turbocache,Am3+ fsb2000mts,4000,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxbko.html,279 €,Amd fx8300
128,DVD-RW,8,Intel hd 4600,Lenovo,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hepih.html,115 €,I5-4590
500,DVD-RW,8,Intel hd 4600,Lenovo,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fgnoo.html,110 €,I5-4590
480,-,16,Rx570 8gb,B85m,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eipgx.html,235 €,I5 4460
512,-,8,Nvidia geforce gtx 1060 3gb,Msi b250m pro-vd (ms-7a74),3,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kghle.html,350 €,Core i5-7400
1500,-,16,Nvidia gtx 1050ti 4gb,Its,3.90,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eoxcd.html,419 €,Intel Core i7
240,-,8,Intel Hd Graphics 4400,Gigabyte ga-b85m-d3h,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fjipf.html,50 €,I3-4130
500,-,16,Geforce rtx 4060 8gb,Socket 1700/ddr4/usb 3.2,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eeexg.html,899 €,Corei5-13400F
256,-,32,Intel Uhd Graphics 630,Apple,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kmemf.html,300 €,Intel i5
500,-,16,Gtx 1650,Msi,4.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fdden.html,330 €,Ryzen 5
500,DVD-RW,8,Geforce gtx750ti 2gb,H61 gsb4800mts,3800,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fcxdk.html,99 €,Core i5-3570K
,,,,,,,"Rīga, centrs",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmnnch.html,,
512,-,8,7 Core M1,Macmini m1,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dgfoo.html,649 €,Apple M1
1000,-,16,Geforce rtx3060 12gb gddr6 hdmi,Intel H610 Fsb8000Mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gxdmj.html,889 €,Core i5-13400
,,,,,,,"Rīga, Maskavas priekšpilsēta",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxoxi.html,,
120,-,4,Intel Hd Graphics 5000,Intel,2.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/keecg.html,180 €,Intel i5-4250
620,DVD-RW,8,Встроенный - Amd Radeon R7 Graphics,Hp elitedesk 705 g2 sff,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dhldd.html,65 €,A8-8650B
1000,-,16,Radeon rx vega 8 core 4gb dddr4 dx11,Amd a320 fsb9200mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gnmbb.html,499 €,Ryzen 7 4050G
255,-,32,Amd radeon hd 6970m 2048mb,Apple 820-2828,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gnebe.html,390 €,Intel Core i7
1000,-,16,Geforce rtx 3050 8gb,B460/socket 1200/ddr4/usb 3.2,5.10,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fgnij.html,899 €,I7-10700Kf
1000,-,16,Geforce Rtx4060 8Gb Gddr6 14.000Mhz,H410 fsb8000mts usb/sata3,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ixebm.html,889 €,Core i7-10700
1000,-,16,512,Imac,2.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/efemd.html,380 €,I5 Apple
500,-,4,Nvidia geforce gt430,Gigabyte,2.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hpmee.html,45 €,E5300
1000,-,16,"Intel uhd750 graphics on 4gb ddr4, dx12",H610 fsb8000mts usb/sata3,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kiegk.html,669 €,Core i7-12700
1000,-,16,Sapphire rx550,Msi b250m mortar,4.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dfdhl.html,300 €,I5-7600k
1000,-,16,Geforce rtx3050 8gb gddr6,B450 am4 usb/sata3,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kkihm.html,899 €,Ryzen 9-5900
320,DVD-RW,8,Integrated,Hp q67,2.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/empom.html,60 €,I5-2400
1500,-,16,Rtx 2060 super,Asrock ab350m pro4,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gbcnc.html,450 €,Ryzen 5 2600x
1000,-,16,Geforce rtx3060 12gb gddr6,Intel H410 8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxlff.html,929 €,Core i9-11900
500,-,32,Geforce rtx 4080 16gb,Lga 1700,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eleec.html,2 199 €,Corei5-13400F
512,-,16,Nvidia geforce rtx 3060,Amd pro 565,4.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dokxo.html,500 €,Amd Ryzen 7
1000,-,8,Nvidia geforce gt 650m,Apple iMac,2.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gxddb.html,150 €,Intel Core i5
1000,-,64,Geforce rtx4080 16gb gddr6x oc,Z690 ddr5 pcie4.0 fsb8000mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bgoxog.html,2 699 €,Core i9-12900
1,-,32,Geforce rtx 2060 super 8gb,Mpg x570,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fkmni.html,1 250 €,Amd ryzen 9
1000,-,16,Geforce rtx4070 12gb gddr6x,H410 fsb8000mts usb/sata3,5300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxlnp.html,1 199 €,Core i9-10900
1000,-,16,Radeon Rx Vega 7 Core Ddr4,B450 am4 fsb9200mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxlkj.html,379 €,Ryzen5 4600G
250,-,16,3060Ti asus dual,B450M H Gigabyte,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lohdj.html,760 €,Ryzen 5 5600X
1000,-,8,Nvidia 750ti 2gb,H81M-K asus,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/enhhp.html,200 €,Intel i3-3700
1000,-,16,Geforce rtx3050 8gb,B450/socket am4/ddr4/usb 3.0,4.10,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/elhbp.html,699 €,Ryzen 5 4500
250,DVD,8,X,X,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fheeg.html,1 200 €,6-Core Intel
1000,CD-RW,12,Gtx 650 ti,Asus m5A9,4.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hehjl.html,120 €,Amd fx-8320
256,-,8,Apple M1 7C,"IMac 24, 4.5K 2021",3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dodgk.html,1 099 €,Apple M1 8C
750,-,4,Intel Hd Graphics 4000,Lenovo thinkcentre,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dilnh.html,180 €,Corei7-3770
1000,-,16,Geforce rtx3060 12gb gddr6 12ghz,Intel H110 4800Mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bgnbkh.html,649 €,Core i7-7700
500,-,8,"Intel hdgraphics 530, nvidia geforcegt730",Hp elitedesk 800g2,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gklmc.html,216 €,Corei5-6500
500,-,4,Intel Hd Graphics,123,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxfmj.html,99 €,Corei3-3230
500,DVD-RW,4,Intel Hd Graphics 2500,Hp Compaq Pro 4300,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ebifp.html,103 €,Corei5-3470
250,DVD-RW,4,Intelgma4500,Lenovosingaporethinkce ntre,2.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gceoe.html,71 €,Pentiume5400
500,-,32,Geforce rtx 4070ti 12gb,B650,5.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dmhjn.html,1 699 €,Ryzen 5 7600X
,,,,,,,"Rīga, centrs",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnclxf.html,,
,,,,,,,"Rīga, Teika",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxdgx.html,,
128,DVD-RW,8,Radion R7 200,Dq87Pg,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lmjgm.html,60 €,I5-4440
500,-,8,Intel hd 530,Hp,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gkbjc.html,135 €,Intel Core i3
120,DVD-RW,8,Intel hd graphics pro,Intel,3000,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dhmgn.html,150 €,I5-4590s
,,,,,,,"Rīga, Imanta",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bndidb.html,,
1000,-,16,Geforce gtx1650 4gb gddr5 8000mhz,Amd a320 fsb9200mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dfxgl.html,649 €,Ryzen5 5600
500,-,16,Nvidia geforce gtx 1050 ti,Gigabyte h510m,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/emeko.html,480 €,I5-11600Kf
,,,,,,,"Rīga, Āgenskalns",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnmkkk.html,,
256,-,8,7-core,Apple M1,3,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/efclp.html,1 150 €,8-core
80,DVD-RW,8,Nvidia geforce 8400 gs,Asrock n68c-s ucc,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dpnex.html,25 €,Amd athlon ii
480,-,8,Geforce 1650 4gb,Gigabyte h310m,2.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mboxj.html,329 €,I5-8400
220,-,8,Msi rx 560 4gb,Asus strix z270f gaming,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gicop.html,232 €,I3-7100
1000,-,4,Integrētā,Monkp,2.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kklob.html,300 €,Ryzen 5-3500U
,,,,,,,"Rīga, Cits",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnbxxi.html,,
240,DVD-RW,12,Gtx 560 se,Asus p8h77-v,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fdhlj.html,95 €,I5 - 3570
1000,-,16,Geforce rtx 3050 8gb,B450/socket am4/ddr4/usb 3.0,4.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/acjjd.html,899 €,Zen 7 5800x3d
256,-,4,Intel Hd Graphics,Asus,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hcnmk.html,60 €,N3700
1000,-,32,Geforce rtx3070 8gb gddr6,Intel H410 8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/knhno.html,1 099 €,Core i9-11900
2048,-,24,Radeo Pro 580X (8Gb),Apple,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gfngd.html,1 200 €,Apple
2000,-,16,Rtx 2060 6gb,Gigabyt B450 Aorus M,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fmcxj.html,450 €,Amd ryzen 5
750,-,16,Gtx 1060 6gb,B450M,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fieif.html,420 €,Ryzen 2600
1000,-,16,Geforce rtx3050 8gb gddr6,H310 fsb4800mts,5000,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bpmobi.html,699 €,Core i9 9900
,,,,,,,"Rīga, Ķengarags",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmnpfh.html,,
1000,-,16,Radeon R7 6x Core Ddr4,A320 am4 fsb9200mts,3800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fomlp.html,319 €,Amd a10-9700
240,-,16,Asus gtx 1070 ti,Gigabyte h310m s2h Iga-1151,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fgemx.html,490 €,Intel I5 8600
1000,-,16,Radeon Pro 555,IMac,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bcbjk.html,450 €,I5
1000,-,32,"Intel uhd730 graphics on 4gb ddr4, dx12",H610 fsb8000mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pmenm.html,499 €,Core i5-12500
560,-,8,Asus gtx960 4gb,Gigabyte b460 hd3,4.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fjnke.html,320 €,I3 10100f
512,-,16,Intel Uhd Graphics 770,Intel Q670,4.80,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/adpij.html,300 €,Inteli5-12600
1000,-,32,Radeon Vega Rdna2:shading Units:716 Ddr5,A620 am5 9200mts pcie4.0 ddr5,5600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kpfbn.html,1 159 €,Ryzen9 7900xd
1000,-,16,Radeon Pro 555 2Gb,IMac 2017 4K Retina,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ekcdd.html,450 €,Intel i5
1000,-,16,Geforce rtx3070 8gb gddr6,Intel H610 Fsb8000Mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxdhx.html,997 €,Core i5-13400
1024,-,16,Rx6700xt,B450 aorus elite v2,4.70,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hflnn.html,819 €,5800x
1000,-,16,Intel Iris Pro,Apple Imac,2800,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fgffg.html,230 €,Core i5
1003,-,8,Radeon Pro 560X 4Gb,Retina 4K ssd,3,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/loonp.html,950 €,Apple 6-Core
2000,DVD-RW,8,Intel hd,Asus,3600,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lolek.html,170 €,Core i3
1000,-,16,Geforce rtx4070 12gb gddr6x,H610 fsb8000mts usb/sata3,5100,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kmkpp.html,1 489 €,Core i9-12900
500,-,16,Geforce rtx 4070 12gb,B450/socket am4/ddr4/usb 3.0,4.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fpfbg.html,1 299 €,Ryzen7 58003D
1000,-,16,Geforce Rtx6060 Ti 8Gb Gddr6,H410 fsb8000mts usb/sata3,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fmgcb.html,919 €,Core i5-11400
1000,-,8,Radeon R7 6x Core Ddr4,Amd a320 fsb9200mts,4300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ppgin.html,299 €,Amd a12-9800
512,-,16,Iebuv,X64,1.99,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ecpie.html,650 €,Intel Core 5
1000,-,16,Geforce Rtx3050 8Gb Gddr6 12.000Mhz,H410 fsb8000mts usb/sata3,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ajlhk.html,799 €,Core i7-11700
500,DVD-RW,8,Geforce Gtx660 2Gb Gddr5 256bit 6000Mhz,A55 fsb5200mts,4000,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eeljk.html,99 €,Amd 750k be
500,-,32,Geforce rtx 4080 16gb,Lga 1700/ddr5,5.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gxpnj.html,2 499 €,I7-13700Kf
1000,-,16,Intel hd630 4gb ddr4,Intel H310 Fsb8000Mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ghhxm.html,399 €,Core i7-8700
1000,-,16,Geforce rtx4060 8gb gddr6,Intel H410 8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pxbkc.html,919 €,Core i9-10900
1000,-,32,"Intel uhd750 on 4gb ddr4 dx12, hdmi",H410 fsb8000mts usb/sata3,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ggplf.html,699 €,Core i9-11900
1000,-,16,Geforce gt730 4gb gddr5,Intel H410 8000Mts,4300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bpnhgo.html,439 €,Core i5-11400
2000,-,32,Geforce Rtx4060 8Gb Gddr6 14.000Mhz,Amd b450 9200mts am4,4500,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/phjjn.html,1 079 €,Ryzen7 5800xd
256,DVD,20,Amd radion,Nezinu,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gcdbh.html,199 €,Intel core i7
1,-,16,Nav,X79,2.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/emnde.html,130 €,Intel Xeon E5
1000,-,16,Radeon vega rdna2 ddr5,A620 am5 fsb9200 ddr5,5300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ggijx.html,699 €,Ryzen5 7600X
500,-,16,Geforce rtx 4060 8gb,Am4/ddr4/usb3.2/sata3,4.70,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ixecb.html,998 €,Zen 7 5800x3d
1000,-,8,Feforce Gt710 2Gb Turbocache,Am3+ fsb2000mts,4000,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pxxij.html,299 €,Amd fx8300
500,-,16,Gtx 1070 g1,Asrock Super Alloy,4.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gpcdc.html,590 €,I5-7600K
1000,-,16,Intel uhd630 4gb ddr4,Intel H310 Fsb8000Mts,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kmkem.html,459 €,Core i9-9900
620,DVD-RW,8,Integrated - Intel Hd Graphics 2000,Dell Vostro 260s sff,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dixgg.html,70 €,Core i5-2400
1000,-,16,Intel hd530 4gb ddr3,B81 fsb4000mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bkmjcm.html,1 099 €,Core i9-10900
1000,-,16,Intel uhd630 4gb ddr4,Intel H310 Fsb8000Mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bpmnig.html,399 €,Core i7-8700
1000,-,16,Geforce rtx 4060ti 8gb,Lga1700/ddr4/usb3.2/sa ta3,5.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/elkng.html,1 199 €,I7-13700F
1000,-,32,Ati radeon hd 5770 1024mb,Logic Board,2.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/djdjk.html,499 €,Xeon Quad
1000,-,16,Geforce rtx3060 12gb gddr6 12ghz,H410 fsb8000mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bknnnp.html,899 €,Core i9-10900
256,CD,4,Intel(R) uhd,Windows 10 pro,1.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ebpgo.html,150 €,Intel(R)N4000
1000,-,32,Geforce Rtx4060 Ti 8Gb Gddr6,H410 fsb8000mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lppio.html,989 €,Core i5 11400
