"HDD apjoms, Gb:",DVD:,"Operatīvā atmiņa, Gb:",Video:,Pamat plate:,"Procesora frekvence, Ghz:",Stāvoklis:,Atrašanās vieta:,Darba dienas:,URL,Cena,Procesors:
,,,,,,,"Rīga, centrs",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/oemeh.html,35 €,
1000,-,16,Geforce rtx3050 8gb gddr6 12000mhz,H310 fsb4800mts,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lploi.html,699 €,Core i9-9900
4240,-,16,Msi armor rx570 4gb,Asrock A320M-Dvs R4.0,2.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fgjpk.html,210 €,Ryzen 2200g
500,-,32,Geforce rtx 4070ti 12gb,B760,5.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/emfpl.html,1 999 €,I7-13700Kf
1000,-,32,Intel uhd750 4gb ddr4,Intel H410 8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lojji.html,699 €,Core i9-11900
1000,-,8,Intel hd,Dell,2.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ixcxk.html,105 €,I5-4590T
1000,DVD,16,1050 ti 4gb,Hp 304ah,2.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ixdmk.html,240 €,I7 860
1000,-,16,Rtx 3070 8gb gaming oc gigabyte ( 3x fan,Asrock a620m-hdv/m. 2 am5,5.10,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gdxmi.html,998 €,Ryzen 5 7600
,,,,,,,"Rīga, centrs",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxejf.html,,
1000,-,16,Intel uhd630 4gb ddr4,Intel H310 Fsb8000Mts,4700,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bpnhhi.html,399 €,Core i7-8700
256,-,8,Amd radeon,Hp,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kiohe.html,85 €,I7
1000,-,32,Geforce rtx3070 8gb gddr6 14ghz,H610 fsb8000mts usb/sata3,5100,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kphcf.html,1 279 €,Core i9-12900
500,DVD-RW,6,Intel hd,Asus,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gmegi.html,60 €,Q6600
250,DVD-RW,4,Intel Hd Graphics,Asus,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fpleb.html,40 €,Dual core
120,DVD-RW,8,Intel Graphics 4400,Dell,3.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kgfhn.html,50 €,I3-4150
1000,-,8,Radeon R5 6x Core Ddr4,A320 am4 fsb9200mts,3800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gmbpl.html,259 €,Amd a6-9500
1000,-,16,Rtx 3070 8gb gaming oc gigabyte ( 3x fan,Asrock H510M-Hvs R2.0,4.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/apfjk.html,698 €,I5 11400
2000,-,32,Aorus rx 6900 xt 16 gb,Gigabyte aorus master x570 am4,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dggkl.html,2 350 €,Ryzen 9 5900X
1000,-,16,Geforce rtx4070 12gb gddr6x hdmi,H410 fsb8000mts usb/sata3,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hbhkx.html,1 169 €,Core i7-10700
1000,-,16,Geforce rtx3060 12gb gddr6 12ghz,H110 fsb4800mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bkneep.html,649 €,Core i7-7700
620,DVD-RW,8,Intel Hd Graphics 2000,Intel dh61ww,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fedoc.html,40 €,Intel i3-2120
1000,-,16,Geforce Rtx3050 8Gb Gddr6 12.000Mhz,H510 fsb8000mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bppkcj.html,889 €,Core i9-11900
500,-,16,Geforce rtx 4070 12gb,B450/socket am4/ddr4/usb 3.0,4.80,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/embmi.html,1 399 €,Ryzen 9 5950X
