Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Spilves 21 [Karte],67 000 € (1 098.36 €/m²),4/9/lifts,Iļģuciems,Jaun.,,2,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/ckfhd.html,"Balkons, Parkošanas vieta"
Kaivas 31 [Karte],137 000 € (1 442.11 €/m²),1/4,Mežciems,Jaun.,,3,95 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/dmdxh.html,Terase
Lēdurgas 22 [Karte],109 000 € (973.21 €/m²),6/9/lifts,Mangaļi,467.,,4,112 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/acjbc.html,Lodžija
Ģimnastikas 6a [Karte],51 000 € (1 133.33 €/m²),5/5,Ziepniekkalns,LT proj.,,2,45 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/fjing.html,"Balkons, Parkošanas vieta"
Prūšu 4b [Karte],165 750 € (2 511.36 €/m²),4/4,Ķengarags,Jaun.,,3,66 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/fkkkf.html,"Terase, Parkošanas vieta"
Anniņmuižas bulvāris 43 [Karte],265 000 € (1 424.73 €/m²),14/24/lifts,Imanta,Jaun.,01000930348004114,5,186 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/aoicd.html,Terase
Kalpaka bulv. 7 [Karte],120 000 € (2 727.27 €/m²),1/6/lifts,centrs,Renov.,,2,44 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hbpnx.html,Terase
Kurzemes pr. 164 [Karte],35 000 € (1 029.41 €/m²),9/9,Imanta,602.,,1,34 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/gkfxn.html,
Maskavas 250k11 [Karte],48 500 € (808.33 €/m²),1/5,Ķengarags,LT proj.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/fkjij.html,Parkošanas vieta
Kalpaka bulv. 7 [Karte],135 000 € (2 700 €/m²),1/6/lifts,centrs,Renov.,,2,50 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fgpno.html,Terase
Klijānu 3 [Karte],75 000 € (1 500 €/m²),2/6,centrs,P. kara,,2,50 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahxfi.html,
Marijas 16 [Karte],323 000 € (1 745.95 €/m²),1/7,centrs,P. kara,,5,185 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dbdmh.html,Terase
Avotu 53/55 [Karte],65 000 € (1 326.53 €/m²),1/5,centrs,P. kara,,2,49 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cxxxo.html,Parkošanas vieta
Tomsona 33a [Karte],118 000 € (1 512.82 €/m²),4/5,centrs,Staļina,,3,78 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hxflg.html,Balkons
Ulbrokas 12 [Karte],99 000 € (1 767.86 €/m²),1/8,Pļavnieki,Jaun.,,2,56 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/glepj.html,Lodžija
Melīdas 6/1 [Karte],37 500 € (986.84 €/m²),2/5,Vecmīlgrāvis,LT proj.,,2,38 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/acfxd.html,Parkošanas vieta
Bruņinieku 149 [Karte],19 500 € (722.22 €/m²),1/2,centrs,P. kara,,2,27 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dnhlo.html,
Tomsona 39 [Karte],300 000 € (1 382.49 €/m²),6/10/lifts,centrs,Jaun.,,4,217 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ejmdi.html,"Balkons, Lodžija, Terase, Parkošanas vieta"
Saulkrastu 2/2 [Karte],13 400 € (638.10 €/m²),2/2,Čiekurkalns,Specpr.,,1,21 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/eiemg.html,
Krustpils 75 k-1 [Karte],31 000 € (620 €/m²),1/2,Ķengarags,Specpr.,,2,50 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/edjcd.html,Parkošanas vieta
Dzirciema 71 [Karte],43 000 € (843.14 €/m²),7/9/lifts,Iļģuciems,602.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/chdjx.html,
Dzelzavas 71 [Karte],64 500 € (1 290 €/m²),5/9/lifts,Purvciems,467.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dxjbl.html,Balkons
Lokomotīves 76 [Karte],34 500 € (1 150 €/m²),4/5,Ķengarags,LT proj.,,1,30 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/fcfjn.html,"Balkons, Parkošanas vieta"
Salaspils 6/1 [Karte],46 400 € (1 221.05 €/m²),4/5,Ķengarags,LT proj.,,2,38 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbdckd.html,Balkons
J. Daliņa 8 [Karte],1 300 000 € (3 170.73 €/m²),23/24/lifts,centrs,Jaun.,,5,410 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bhdjf.html,"Terase, Pirts, Parkošanas vieta"
Brantkalna 10 [Karte],75 000 € (1 005.36 €/m²),3/6/lifts,Purvciems,119.,,3,74.60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hhekc.html,Lodžija
Martas 7 [Karte],255 000 € (3 269.23 €/m²),4/7/lifts,centrs,Jaun.,,3,78 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aagep.html,Parkošanas vieta
Zalves 33 [Karte],44 000 € (936.17 €/m²),1/3,Šampēteris-Pleskodāle,Staļina,,2,47 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/cebmx.html,Parkošanas vieta
Maskavas 273 к5 [Karte],43 500 € (713.11 €/m²),2/5,Ķengarags,LT proj.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/ckbfx.html,Balkons
Sērenes 4 [Karte],58 000 € (966.67 €/m²),8/16/lifts,Ziepniekkalns,104.,,2,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/ambho.html,Lodžija
Prūšu 4 [Karte],137 000 € (1 370 €/m²),4/5/lifts,Ķengarags,Jaun.,,4,100 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/deiej.html,
Dzirciema 57 [Karte],76 000 € (1 266.67 €/m²),6/9,Iļģuciems,467.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/ehnlm.html,Lodžija
Meldru 6 [Karte],27 500 € (625 €/m²),4/5,Vecmīlgrāvis,Hrušč.,,2,44 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/ecegf.html,
Miera 94 [Karte],165 000 € (1 896.55 €/m²),2/5,centrs,P. kara,,3,87 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ebldc.html,Parkošanas vieta
Dzelzavas 67 [Karte],70 000 € (1 186.44 €/m²),4/9,Purvciems,467.,,3,59 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fecdd.html,
Bēnes 2 [Karte],30 000 € (1 111.11 €/m²),3/5,Iļģuciems,LT proj.,,1,27 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/eiicp.html,
Ūnijas 72 [Karte],41 000 € (1 413.79 €/m²),2/5,Purvciems,LT proj.,,1,29 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aflip.html,
Ūnijas 24 [Karte],89 500 € (1 316.18 €/m²),4/7/lifts,Teika,103.,,3,68 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/dlpll.html,"Lodžija, Parkošanas vieta"
Ļermontova 4c [Karte],189 550 € (2 669.72 €/m²),3/3,Āgenskalns,Jaun.,,3,71 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/bciooi.html,Balkons
Tomsona 23 [Karte],96 000 € (1 655.17 €/m²),2/5,centrs,Hrušč.,,3,58 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/alxoo.html,
Vangažu 30 [Karte],70 000 € (897.44 €/m²),6/12/lifts,Jugla,Čehu pr.,,3,78 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/hfpxc.html,Lodžija
Riekstu 7 [Karte],37 000 € (973.68 €/m²),1/5,Iļģuciems,M. ģim.,,1,38 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/fjpop.html,Lodžija
Edžiņa g. 9 [Karte],57 000 € (838.24 €/m²),1/5,Vecmīlgrāvis,LT proj.,,3,68 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/ekpep.html,Balkons
Zolitūdes 46k2 [Karte],62 000 € (1 016.39 €/m²),5/9/lifts,Zolitūde,119.,,2,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/ahxed.html,Balkons
J. Vācieša 8 [Karte],67 500 € (1 088.71 €/m²),9/9,Pļavnieki,602.,,3,62 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/becigg.html,"Balkons, Parkošanas vieta"
M. Nometņu 1 [Karte],147 000 € (1 441.18 €/m²),8/8/lifts,Āgenskalns,Specpr.,,3,102 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/fhxbd.html,Parkošanas vieta
Timoteja 1a [Karte],169 000 € (1 778.95 €/m²),5/5,centrs,P. kara,,4,95 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bcihep.html,"Lodžija, Parkošanas vieta"
Brīvības gatve 449 [Karte],46 850 € (699.25 €/m²),1/2,Jugla,Staļina,01009128601,2,67 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/dxcoc.html,Parkošanas vieta
Ausekļa 5 [Karte],550 000 € (3 437.50 €/m²),2/5/lifts,centrs,P. kara,,4,160 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dnmne.html,Parkošanas vieta
Mēness 21/1 [Karte],194 000 € (1 763.64 €/m²),5/6,centrs,Specpr.,,4,110 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bcjpch.html,"Lodžija, Parkošanas vieta"
Dzirnavu 10 [Karte],195 000 € (2 215.91 €/m²),3/5,centrs,P. kara,,3,88 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dlinn.html,
Bruņinieku 93 [Karte],80 000 € (2 666.67 €/m²),1/2,centrs,Renov.,,1,30 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fekbe.html,"Terase, Parkošanas vieta"
Baltāsbaznīcas 34 [Karte],25 900 € (784.85 €/m²),5/5,Vecmīlgrāvis,103.,,1,33 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/ajdkp.html,
Brīvības gatve 449 [Karte],46 850 € (699.25 €/m²),1/2,Berģi,Staļina,01009128601,3,67 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bergi/bebgon.html,Parkošanas vieta
Merķeļa 2 [Karte],165 600 € (3 600 €/m²),4/6/lifts,centrs,Renov.,,2,46 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adkjp.html,
M. Nometņu 42a [Karte],37 600 € (1 342.86 €/m²),1/3,Āgenskalns,P. kara,,1,28 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/ahjed.html,Parkošanas vieta
Rūpniecības 20 [Karte],250 000 € (2 777.78 €/m²),3/4,centrs,Renov.,,4,90 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adjlm.html,
Tapešu 19 [Karte],40 500 € (1 500 €/m²),4/5,Zasulauks,Hrušč.,,1,27 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zasulauks/bknic.html,
Tapešu 19 [Karte],40 500 € (1 500 €/m²),4/5,Āgenskalns,Hrušč.,,1,27 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/dmpen.html,
Brīvības gatve 399 [Karte],33 500 € (797.62 €/m²),5/5,Jugla,Hrušč.,,2,42 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/cndog.html,
Tērbatas 33 [Karte],135 000 € (2 014.93 €/m²),2/6/lifts,centrs,P. kara,,3,67 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bhded.html,
Birznieka-Upīša 10 [Karte],130 000 € (2 452.83 €/m²),4/6,centrs,Renov.,,2,53 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cleli.html,Parkošanas vieta
Auru 13a [Karte],52 000 € (1 061.22 €/m²),5/5,Imanta,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/dlhdl.html,Balkons
Klijānu 16 [Karte],115 000 € (2 129.63 €/m²),6/8/lifts,centrs,Jaun.,,2,54 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afbkd.html,Lodžija
Anniņmuižas 7 [Karte],99 000 € (1 833.33 €/m²),10/12/lifts,Zolitūde,Jaun.,,1,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/akiej.html,
Jūrkalnes 87 [Karte],109 000 € (1 816.67 €/m²),1/5,Šampēteris-Pleskodāle,Jaun.,,2,60 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/afodp.html,Terase
Jūrkalnes 87 [Karte],109 000 € (1 816.67 €/m²),1/5,Zolitūde,Jaun.,,2,60 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/aifcd.html,"Terase, Parkošanas vieta"
Jūrmalas g. 82 [Karte],79 000 € (2 078.95 €/m²),7/9,Imanta,Jaun.,,1,38 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/hfigi.html,
Dzirciema 89 [Karte],47 000 € (979.17 €/m²),3/5,Iļģuciems,LT proj.,,2,48 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/dflmp.html,Lodžija
Maskavas 268 [Karte],36 000 € (1 028.57 €/m²),5/5,Ķengarags,Hrušč.,,1,35 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/gihpg.html,"Balkons, Parkošanas vieta"
Kurzemes pr. 164 [Karte],71 000 € (1 339.62 €/m²),8/9/lifts,Imanta,602.,,2,53 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/aomhi.html,"Balkons, Parkošanas vieta"
Brantkalna 11 [Karte],85 000 € (1 148.65 €/m²),8/9/lifts,Purvciems,119.,,3,74 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/genkd.html,"Lodžija, Parkošanas vieta"
Viestura pr. 55 [Karte],30 000 € (1 071.43 €/m²),8/9,Sarkandaugava,Specpr.,,1,28 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bejdfp.html,Parkošanas vieta
Pūces 47 [Karte],170 000 € (1 504.42 €/m²),1/9/lifts,Purvciems,Jaun.,,3,113 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/agckl.html,Balkons
Zileņu 12 [Karte],143 000 € (2 042.86 €/m²),3/5/lifts,Purvciems,Jaun.,,2,70 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ahlgo.html,"Balkons, Parkošanas vieta"
Skujenes 13 [Karte],54 000 € (931.03 €/m²),4/5,Iļģuciems,Hrušč.,02009133230,3,58 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/agddj.html,
Hamburgas 16 [Karte],177 600 € (1 850 €/m²),2/3,Mežaparks,Specpr.,,2,96 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/fldmn.html,Parkošanas vieta
Hamburgas 16 [Karte],208 125 € (1 841.81 €/m²),2/3,Mežaparks,Specpr.,,2,113 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/heojk.html,"Terase, Parkošanas vieta"
Kalēju 61 [Karte],90 000 € (2 812.50 €/m²),2/2,Vecrīga,P. kara,,1,32 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/bdxxjx.html,
Hipokrāta 9 [Karte],64 000 € (1 066.67 €/m²),16/16/lifts,Mežciems,104.,01001222005014092,2,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/gbcco.html,Lodžija
Krāsotāju 11/2 [Karte],115 000 € (2 346.94 €/m²),5/5/lifts,centrs,Renov.,,2,49 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dlfff.html,Parkošanas vieta
Apuzes 2 [Karte],46 200 € (1 100 €/m²),2/2,Šampēteris-Pleskodāle,P. kara,,2,42 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/ablje.html,Parkošanas vieta
Gogoļa 7 [Karte],79 650 € (1 475 €/m²),3/5/lifts,centrs,P. kara,,3,54 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fhxci.html,Parkošanas vieta
Puškina 19 [Karte],95 000 € (1 202.53 €/m²),5/5,centrs,Staļina,,3,79 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/admfp.html,Balkons
Dammes 31 [Karte],56 000 € (903.23 €/m²),7/9/lifts,Imanta,602.,,3,62 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/bfcfm.html,"Balkons, Parkošanas vieta"
Tirgoņu 17 [Karte],145 000 € (2 685.19 €/m²),3/5,Vecrīga,Renov.,,2,54 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/abneg.html,
Gramzdas 21 [Karte],84 000 € (1 076.92 €/m²),3/9/lifts,Zolitūde,119.,,3,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/bxhkl.html,
Eizenšteina 65 [Karte],66 900 € (1 061.90 €/m²),2/9/lifts,Mežciems,602.,01001220282013,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/ahnic.html,"Lodžija, Parkošanas vieta"
Glūdas 10 [Karte],38 000 € (840.71 €/m²),2/5,Ķengarags,LT proj.,,2,45.20 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/hcfpn.html,
Baznīcas 27/29 [Karte],140 000 € (1 627.91 €/m²),3/5,centrs,P. kara,,3,86 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adxbh.html,
Mores 34 [Karte],42 000 € (875 €/m²),2/2,Mangaļi,Hrušč.,,2,48 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/aedig.html,Parkošanas vieta
Katrīnas d. 15 [Karte],45 000 € (1 551.72 €/m²),4/4,centrs,Renov.,,1,29 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fhddo.html,Parkošanas vieta
Stirnu 49a [Karte],49 900 € (1 134.09 €/m²),2/5,Purvciems,LT proj.,,2,44 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ahdjk.html,Lodžija
Ezermalas 4 [Karte],38 190 € (1 900 €/m²),1/5,Mežaparks,Renov.,,2,20.10 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/kmhnm.html,
Rododendru 12 [Karte],47 000 € (1 175 €/m²),3/5,Āgenskalns,Hrušč.,,2,40 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/cjlco.html,
Ezermalas 4 [Karte],37 240 € (1 900 €/m²),2/5,Mežaparks,Renov.,,2,19.60 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/hdpdi.html,
Ezermalas 4 [Karte],30 400 € (1 900 €/m²),2/5,Mežaparks,Renov.,,1,16 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/lxeng.html,
Brīvības gatve 241 [Karte],98 000 € (1 441.18 €/m²),3/5,Teika,Specpr.,,3,68 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/afhpj.html,"Lodžija, Parkošanas vieta"
Krīdenera d. 4 [Karte],151 000 € (2 287.88 €/m²),6/9,Krasta r-ns,Jaun.,,3,66 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/clbgi.html,"Balkons, Parkošanas vieta"
Lielvārdes 131 [Karte],34 000 € (1 133.33 €/m²),3/5,Purvciems,LT proj.,,1,30 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fihkp.html,Parkošanas vieta
Juglas 43 [Karte],57 000 € (1 000 €/m²),1/5,Jugla,Hrušč.,,3,57 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/ahhik.html,
Maskavas 137 [Karte],26 500 € (509.62 €/m²),1/2,centrs,P. kara,,2,52 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dffbn.html,
Čaka 113a [Karte],139 000 € (2 673.08 €/m²),1/5,centrs,Jaun.,,2,52 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/epjxo.html,
Ādmiņu 5 [Karte],31 000 € (1 347.83 €/m²),1/4,centrs,P. kara,,1,23 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agipb.html,Parkošanas vieta
Sakses 2 [Karte],305 000 € (2 850.47 €/m²),1/3,Mežaparks,Renov.,,3,107 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/ajjhp.html,Parkošanas vieta
Valmieras 39 [Karte],34 900 € (1 246.43 €/m²),3/4,centrs,P. kara,,1,28 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gdnfh.html,Parkošanas vieta
Viestura pr. 49 [Karte],39 000 € (829.79 €/m²),3/9/lifts,Sarkandaugava,Specpr.,,2,47 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/afjgg.html,Lodžija
Kleistu 59 [Karte],47 200 € (1 242.11 €/m²),3/5,Kleisti,Specpr.,,1,38 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kleisti/mnlhj.html,Lodžija
Šķūņu 6 [Karte],290 000 € (3 258.43 €/m²),2/4,Vecrīga,Renov.,,3,89 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/aebxn.html,
Maskavas 279 [Karte],52 000 € (852.46 €/m²),3/5,Ķengarags,LT proj.,,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bxxni.html,
Kaivas 29k2 [Karte],290 000 € (2 636.36 €/m²),3/4,Mežciems,Jaun.,,4,110 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/elgob.html,"Terase, Parkošanas vieta"
Valdlauču 5 [Karte],63 600 € (1 115.79 €/m²),4/9/lifts,Katlakalns,LT proj.,,2,57 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/katlakalns/hcmpc.html,Lodžija
Jūrmalas g. 93-2 [Karte],33 945 € (969.86 €/m²),7/10/lifts,Imanta,602.,,1,35 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/aboin.html,"Balkons, Lodžija, Terase, Parkošanas vieta"
Dolomīta 2 [Karte],35 000 € (700 €/m²),5/5,Bolderāja,Hrušč.,,2,50 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/ffiph.html,Balkons
Zolitūdes 46 k-3 [Karte],96 500 € (975.73 €/m²),4/9/lifts,Zolitūde,119.,,4,98.90 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/iecem.html,Lodžija
Andromedas g. 6 [Karte],44 500 € (908.16 €/m²),4/5,Purvciems,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aiekd.html,"Lodžija, Parkošanas vieta"
Tilta 3 [Karte],87 000 € (1 260.87 €/m²),4/5,Sarkandaugava,Specpr.,01000160073001009,3,69 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/dpfen.html,
Juglas 10 [Karte],110 000 € (1 486.49 €/m²),7/9/lifts,Jugla,Jaun.,,2,74 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/ajbib.html,"Lodžija, Terase, Parkošanas vieta"
Meistaru 8 [Karte],450 000 € (1 666.67 €/m²),1/3,Vecrīga,P. kara,,5,270 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/aegkg.html,"Terase, Parkošanas vieta"
Progresa 4 [Karte],48 000 € (979.59 €/m²),3/5,Imanta,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/emlie.html,"Lodžija, Parkošanas vieta"
Zeltiņu 7 [Karte],46 000 € (920 €/m²),5/9,Dārzciems,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/darzciems/afigd.html,
