Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Madonas 25 [Karte],65 000 € (855.26 €/m²),1/9,Purvciems,119.,,3,76 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/djinx.html,Lodžija
Stirnu 37 [Karte],55 500 € (911.03 €/m²),4/9/lifts,Purvciems,602.,,3,60.92 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/oobic.html,Balkons
Slokas 72 [Karte],83 000 € (1 338.71 €/m²),1/3,Dzegužkalns,Staļina,,2,62 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/ajebd.html,Parkošanas vieta
Plostu 24 [Karte],42 000 € (893.62 €/m²),2/5,Ķengarags,LT proj.,,2,47 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bjnkx.html,
Kastrānes 14 [Karte],67 000 € (1 240.74 €/m²),5/5,Teika,103.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/aedko.html,Lodžija
Čaka 44 [Karte],169 750 € (1 750 €/m²),1/5,centrs,P. kara,,2,97 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bcjfdc.html,Parkošanas vieta
Burtnieku 36a [Karte],112 000 € (1 671.64 €/m²),2/5,Teika,Jaun.,,2,67 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/eholm.html,"Balkons, Parkošanas vieta"
Valdeķu 60/1 [Karte],67 500 € (1 071.43 €/m²),3/9,Ziepniekkalns,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dkhil.html,"Lodžija, Parkošanas vieta"
Anniņmuižas bulvāris 38/1 [Karte],130 000 € (2 131.15 €/m²),6/18/lifts,Imanta,Jaun.,,2,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/adcld.html,"Lodžija, Pirts"
Vecmīlgrāvja 6 [Karte],34 500 € (862.50 €/m²),4/5,Vecmīlgrāvis,Hrušč.,,2,40 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/delio.html,
Bieziņa 7 [Karte],95 000 € (989.58 €/m²),6/10/lifts,Zolitūde,119.,,4,96 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/blede.html,
